City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
108,Chuy,UY,-33.6971,-53.4616,68.77,84,0,11.39,clear sky
109,Klaksvik,FO,62.2266,-6.589,38.32,86,51,12.48,broken clouds
110,Znamenskoye,RU,57.1281,73.8282,5.7,85,100,7.83,overcast clouds
111,Atar,MR,20.5169,-13.0499,67.5,19,100,10.87,overcast clouds
112,Constantine,DZ,36.365,6.6147,38.61,87,0,2.3,clear sky
113,San Patricio,US,28.017,-97.5169,78.17,86,59,10.76,broken clouds
114,Port Hedland,AU,-20.3167,118.5667,82.45,78,100,16.11,overcast clouds
115,Saint Marys,US,30.7305,-81.5465,59.02,72,0,0.0,clear sky
116,Hami,CN,42.8,93.45,22.5,50,3,1.79,clear sky
117,Comodoro Rivadavia,AR,-45.8667,-67.5,85.86,25,0,10.36,clear sky
118,Georgetown,MY,5.4112,100.3354,77.95,88,20,4.61,few clouds
119,Namibe,AO,-15.1961,12.1522,69.98,70,94,8.03,overcast clouds
120,Port Macquarie,AU,-31.4333,152.9167,75.88,60,60,13.73,broken clouds
121,New Norfolk,AU,-42.7826,147.0587,72.91,41,0,3.0,clear sky
122,Marystown,CA,47.1666,-55.1483,29.77,92,100,5.1,overcast clouds
123,Manyana,BW,-23.4,21.7167,71.87,36,13,7.7,few clouds
124,Carnarvon,AU,-24.8667,113.6333,77.76,46,0,22.1,clear sky
125,Mitsamiouli,KM,-11.3847,43.2844,80.47,79,31,7.23,scattered clouds
126,Ekibastuz,KZ,51.6667,75.3667,30.0,84,100,14.2,overcast clouds
127,Dakar,SN,14.6937,-17.4441,75.33,57,0,9.22,clear sky
128,Mount Isa,AU,-20.7333,139.5,78.57,89,40,5.75,scattered clouds
129,Qaanaaq,GL,77.484,-69.3632,-9.72,98,100,3.44,overcast clouds
130,Viedma,AR,-40.8135,-62.9967,88.16,31,21,25.05,few clouds
131,Naze,JP,28.3667,129.4833,54.52,61,1,8.9,clear sky
132,Broome,US,42.2506,-75.833,35.6,83,100,14.97,overcast clouds
133,Shingu,JP,33.7333,135.9833,48.87,60,34,6.58,scattered clouds
134,Neiafu,TO,-18.65,-173.9833,86.68,74,75,4.61,broken clouds
135,Sitka,US,57.0531,-135.33,48.09,61,100,21.85,moderate rain
136,Broken Hill,AU,-31.95,141.4333,86.45,22,8,7.61,clear sky
137,Dikson,RU,73.5069,80.5464,-2.02,94,100,8.57,overcast clouds
138,Bethel,US,41.3712,-73.414,40.5,72,75,3.0,broken clouds
139,Baoning,CN,25.3378,110.026,46.26,87,40,0.0,scattered clouds
140,Blytheville,US,35.9273,-89.919,48.18,93,100,5.75,mist
141,Praxedis Guerrero,MX,31.3667,-106.0167,60.26,28,73,1.68,broken clouds
142,Erenhot,CN,43.6475,111.9767,17.85,68,14,4.68,few clouds
143,Sabya,SA,17.1495,42.6254,76.62,74,1,4.65,clear sky
144,Saryg-Sep,RU,51.5,95.6,-2.6,99,84,2.64,broken clouds
145,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,1.99,60,0,13.42,clear sky
146,Mount Gambier,AU,-37.8333,140.7667,88.84,22,0,9.44,clear sky
147,Iracoubo,GF,5.4802,-53.2011,76.46,87,100,11.32,overcast clouds
148,Port-Gentil,GA,-0.7193,8.7815,76.96,94,20,3.44,few clouds
149,Cidreira,BR,-30.1811,-50.2056,71.82,74,8,14.65,clear sky
150,Lorengau,PG,-2.0226,147.2712,84.13,69,94,2.95,overcast clouds
151,Zhigansk,RU,66.7697,123.3711,-21.35,98,100,6.82,overcast clouds
152,Casablanca,MA,33.5928,-7.6192,60.33,82,49,5.37,scattered clouds
153,Lazaro Cardenas,MX,17.9583,-102.2,80.29,66,0,6.98,clear sky
154,Chumikan,RU,54.7183,135.315,3.18,86,100,15.97,overcast clouds
155,Port Augusta,AU,-32.5,137.7667,95.23,15,9,9.73,clear sky
156,Ixtapa,MX,20.7,-105.2,78.03,73,0,11.5,clear sky
157,Marzuq,YE,14.4,46.4667,59.61,75,1,3.18,clear sky
158,Kilinochchi,LK,9.3961,80.3982,75.18,80,61,11.88,broken clouds
159,Dabhol,IN,17.6,73.1667,69.57,58,0,5.68,clear sky
160,Avarua,CK,-21.2078,-159.775,78.85,83,75,6.91,moderate rain
161,Vestmannaeyjar,IS,63.4427,-20.2734,32.25,72,95,10.38,overcast clouds
162,Colonia,DE,50.9333,6.95,52.83,75,20,16.11,few clouds
163,Kaitangata,NZ,-46.2817,169.8464,63.43,57,0,13.78,clear sky
164,Chimore,BO,-16.9833,-65.1333,80.1,62,64,2.8,broken clouds
165,Inhambane,MZ,-23.865,35.3833,73.26,81,100,18.28,overcast clouds
