City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Punta Arenas,CL,2022-12-31 23:28:12,-53.15,-70.9167,55.51,44,75,40.29
119,Dikson,RU,2022-12-31 23:28:12,73.5069,80.5464,-7.33,96,84,20.74
120,Avarua,CK,2022-12-31 23:28:13,-21.2078,-159.775,84.25,84,75,6.91
121,Tessalit,ML,2022-12-31 23:28:13,20.1986,1.0114,61.45,16,62,13.0
122,Griffith,US,2022-12-31 23:28:13,41.5284,-87.4237,38.05,82,40,5.75
123,Upernavik,GL,2022-12-31 23:28:14,72.7868,-56.1549,-19.12,92,55,7.18
124,Bilibino,RU,2022-12-31 23:28:14,68.0546,166.4372,-32.22,98,21,3.71
125,Zhangye,CN,2022-12-31 23:28:14,38.9342,100.4517,19.27,38,100,0.76
126,Sinjar,IQ,2022-12-31 23:28:15,36.3209,41.8754,44.58,38,0,2.51
127,Sao Filipe,CV,2022-12-31 23:28:15,14.8961,-24.4956,72.36,69,14,5.75
128,Banyo,CM,2022-12-31 23:28:16,6.75,11.8167,65.95,35,11,3.58
129,Chicama,PE,2022-12-31 23:28:16,-7.8447,-79.1469,64.94,72,98,6.96
130,Coihaique,CL,2022-12-31 23:28:16,-45.5752,-72.0662,60.75,44,75,9.22
131,Ponta Do Sol,PT,2022-12-31 23:28:17,32.6667,-17.1,70.0,74,17,9.24
132,Talnakh,RU,2022-12-31 23:28:17,69.4865,88.3972,-19.89,78,29,5.53
133,Cabo San Lucas,MX,2022-12-31 23:26:37,22.8909,-109.9124,76.6,46,0,8.05
134,Rio Esteban,HN,2022-12-31 23:28:17,15.8333,-86.3,80.65,84,12,8.34
135,Senneterre,CA,2022-12-31 23:28:18,48.3835,-77.2328,30.02,97,100,2.53
136,Sakakah,SA,2022-12-31 23:28:18,29.9697,40.2064,53.17,74,47,11.05
137,Simao,CN,2022-12-31 23:28:18,22.7886,100.9748,50.74,98,96,2.42
138,Tasiilaq,GL,2022-12-31 23:29:19,65.6145,-37.6368,-3.84,58,10,10.2
139,Fairbanks,US,2022-12-31 23:25:32,64.8378,-147.7164,0.09,84,0,0.0
140,Lagoa,PT,2022-12-31 23:29:19,39.05,-27.9833,53.71,55,59,23.15
141,Tomislavgrad,BA,2022-12-31 23:29:20,43.7181,17.2267,41.79,92,9,0.43
142,Yulara,AU,2022-12-31 23:29:20,-25.2406,130.9889,90.32,28,59,11.86
143,Alofi,NU,2022-12-31 23:29:20,-19.0595,-169.9187,82.29,83,100,11.5
144,Hermanus,ZA,2022-12-31 23:29:21,-34.4187,19.2345,66.79,84,1,15.21
145,San Cristobal,VE,2022-12-31 23:29:21,7.7669,-72.225,73.58,89,8,2.73
146,Lucapa,AO,2022-12-31 23:29:21,-8.4192,20.7447,65.98,96,100,2.95
147,Puerto Ayora,EC,2022-12-31 23:29:22,-0.7393,-90.3518,73.54,95,49,3.0
148,Tabou,CI,2022-12-31 23:29:22,4.423,-7.3528,78.08,76,57,7.09
149,Ararat,AM,2022-12-31 23:29:22,39.8317,44.7049,19.74,47,7,1.81
150,Huangnihe,CN,2022-12-31 23:29:23,43.5583,128.0239,4.77,86,31,11.79
151,Nikolskoye,RU,2022-12-31 23:29:23,59.7035,30.7861,37.8,98,100,11.45
152,Loiza,PR,2022-12-31 23:29:23,18.4313,-65.8802,79.07,80,40,9.22
153,Mareeba,AU,2022-12-31 23:29:24,-17.0,145.4333,80.47,90,100,0.72
154,Umm Kaddadah,SD,2022-12-31 23:29:24,13.6017,26.6876,61.39,23,1,13.53
155,Douentza,ML,2022-12-31 23:29:24,14.9951,-2.9517,69.84,13,95,5.41
156,Sao Joao Da Barra,BR,2022-12-31 23:29:25,-21.6403,-41.0511,77.09,90,98,14.34
157,Iqaluit,CA,2022-12-31 23:29:25,63.7506,-68.5145,-14.31,68,0,0.0
158,Chuy,UY,2022-12-31 23:29:25,-33.6971,-53.4616,69.21,85,1,11.14
159,Tual,ID,2022-12-31 23:29:26,-5.6667,132.75,83.86,76,100,21.47
160,Inverell,AU,2022-12-31 23:29:26,-29.7833,151.1167,84.67,55,0,1.99
161,Leshukonskoye,RU,2022-12-31 23:29:26,64.8989,45.7622,14.04,92,100,12.33
162,Saint-Georges,GD,2022-12-31 23:28:21,12.0564,-61.7485,78.48,83,20,11.5
163,Lahaina,US,2022-12-31 23:29:27,20.8783,-156.6825,82.96,79,45,4.21
164,Tuktoyaktuk,CA,2022-12-31 23:29:27,69.4541,-133.0374,-11.2,77,20,8.05
165,Esperance,AU,2022-12-31 23:29:27,-33.8667,121.9,64.38,64,24,12.68
166,Demyansk,RU,2022-12-31 23:29:28,57.643,32.466,36.09,99,100,9.15
167,Micheweni,TZ,2022-12-31 23:29:28,-4.9667,39.8333,79.79,78,39,9.37
168,Hithadhoo,MV,2022-12-31 23:29:28,-0.6,73.0833,80.24,74,22,5.21
169,Arraial Do Cabo,BR,2022-12-31 23:29:29,-22.9661,-42.0278,74.97,89,85,22.55
170,Marzuq,YE,2022-12-31 23:29:29,14.4,46.4667,64.99,63,86,0.96
171,Adelaide,AU,2022-12-31 23:25:44,-34.9333,138.6,91.08,34,0,6.91
172,Asau,RO,2022-12-31 23:29:29,46.4333,26.4,40.28,88,41,7.61
173,New Norfolk,AU,2022-12-31 23:29:30,-42.7826,147.0587,75.92,54,3,1.99
174,Mocuba,MZ,2022-12-31 23:29:30,-16.8392,36.9856,70.09,98,5,1.12
175,Calabozo,VE,2022-12-31 23:29:30,8.9242,-67.4293,85.28,49,83,5.64
176,Mar Del Plata,AR,2022-12-31 23:29:30,-38.0023,-57.5575,67.08,81,40,15.01
177,Qasigiannguit,GL,2022-12-31 23:29:31,68.8193,-51.1922,7.05,98,100,6.42
178,Nanortalik,GL,2022-12-31 23:29:31,60.1432,-45.2371,10.44,73,28,6.55
179,Cap Malheureux,MU,2022-12-31 23:29:31,-19.9842,57.6142,72.46,86,9,4.56
180,Panjab,AF,2022-12-31 23:29:32,34.388,67.0233,-4.9,65,78,5.86
181,Mecca,SA,2022-12-31 23:24:39,21.4267,39.8261,70.2,76,3,2.55
182,Chokurdakh,RU,2022-12-31 23:29:32,70.6333,147.9167,-24.02,98,98,10.6
183,Lorengau,PG,2022-12-31 23:29:33,-2.0226,147.2712,82.9,78,97,5.08
184,Barcelos,PT,2022-12-31 23:30:33,41.5388,-8.6151,56.84,96,100,7.74
185,Port Moresby,PG,2022-12-31 23:30:33,-9.4431,147.1797,81.82,74,75,11.5
186,Trairi,BR,2022-12-31 23:26:15,-3.2778,-39.2689,79.9,76,100,9.82
187,Grand Gaube,MU,2022-12-31 23:30:34,-20.0064,57.6608,72.37,86,7,4.27
188,Daru,PG,2022-12-31 23:30:34,-9.0763,143.2092,82.8,71,100,15.08
189,Pangnirtung,CA,2022-12-31 23:30:35,66.1451,-65.7125,-17.43,98,100,4.03
190,Castro,BR,2022-12-31 23:30:35,-24.7911,-50.0119,63.86,89,24,4.38
191,Leningradskiy,RU,2022-12-31 23:30:35,69.3833,178.4167,-32.42,97,24,4.68
192,Fundao,BR,2022-12-31 23:30:36,-19.9341,-40.4047,78.33,96,80,1.99
193,Mayo,US,2022-12-31 23:27:19,38.8876,-76.5119,58.08,95,100,5.75
194,Setermoen,NO,2022-12-31 23:30:36,68.861,18.3486,32.11,93,100,4.92
195,Sovetskiy,RU,2022-12-31 23:30:37,61.3614,63.5842,-31.67,100,100,1.63
196,Rajapur,IN,2022-12-31 23:30:37,25.3833,81.15,49.66,60,0,2.19
197,Codrington,AU,2022-12-31 23:30:37,-38.2667,141.9667,83.48,42,34,3.56
198,Axim,GH,2022-12-31 23:30:38,4.8699,-2.2405,77.77,82,82,5.41
199,Chumphon,TH,2022-12-31 23:30:38,10.3333,98.8333,63.12,90,97,1.95
200,Conceicao Do Araguaia,BR,2022-12-31 23:30:38,-8.2578,-49.2647,75.06,88,44,1.79
201,Nagar Karnul,IN,2022-12-31 23:30:39,16.4821,78.3247,68.47,67,50,0.16
202,Abbeville,FR,2022-12-31 23:30:39,50.1,1.8333,60.26,77,100,24.99
203,Letka,RU,2022-12-31 23:30:40,59.6011,49.4232,12.47,95,99,7.27
204,Zhigansk,RU,2022-12-31 23:30:40,66.7697,123.3711,-10.12,99,100,8.1
205,Ancud,CL,2022-12-31 23:30:40,-41.8697,-73.8203,57.54,82,100,14.32
206,Ballina,AU,2022-12-31 23:30:41,-28.8667,153.5667,75.78,85,31,8.19
207,Narsaq,GL,2022-12-31 23:30:41,60.9167,-46.05,-3.78,62,59,7.18
208,Okhotsk,RU,2022-12-31 23:30:41,59.3833,143.3,-6.59,94,100,15.28
209,Montpellier,FR,2022-12-31 23:30:42,43.6109,3.8772,58.48,92,100,16.11
210,Kalangala,UG,2022-12-31 23:30:42,-0.3089,32.225,67.35,72,99,8.05
211,Los Llanos De Aridane,ES,2022-12-31 23:30:42,28.6585,-17.9182,65.95,78,75,9.22
212,Umm Lajj,SA,2022-12-31 23:30:43,25.0213,37.2685,70.07,67,85,6.93
213,Narasannapeta,IN,2022-12-31 23:30:43,18.4167,84.05,71.44,82,65,3.15
214,Prince Rupert,CA,2022-12-31 23:28:08,54.3161,-130.3201,40.69,98,100,18.41
215,Saint-Francois,FR,2022-12-31 23:30:43,46.4154,3.9054,56.64,67,0,13.8
216,Placido De Castro,BR,2022-12-31 23:30:44,-10.3353,-67.1856,75.7,85,56,2.35
217,Sept-Iles,CA,2022-12-31 23:30:45,50.2001,-66.3821,37.4,85,100,6.91
218,Ambulu,ID,2022-12-31 23:30:45,-8.345,113.6058,77.34,85,100,3.36
219,Walvis Bay,NA,2022-12-31 23:30:45,-22.9575,14.5053,65.35,88,80,4.61
220,Mahebourg,MU,2022-12-31 23:30:46,-20.4081,57.7,72.25,83,20,3.44
221,Kuusamo,FI,2022-12-31 23:30:46,65.9667,29.1833,32.04,100,100,14.97
222,Batagay-Alyta,RU,2022-12-31 23:30:46,67.8006,130.4114,-19.64,88,91,3.74
223,Quatre Cocos,MU,2022-12-31 23:30:47,-20.2078,57.7625,72.09,72,57,4.45
